ID Longitude Latitude bio1 bio10 bio11 bio12 bio13 bio14 bio15 bio16 bio17 bio18 bio19 bio2 bio3 bio4 bio5 bio6 bio7 bio8 bio9 CEC OCD PH srad_annual srad_first srad_fourth srad_second srad_third vapr_annual nitrogen
FCT-02 103.124287 28.71942898 9.65833377838135 16.9166660308838 1.56666660308838 937 177 10 85.467170715332 512 33 512 33 8.85000038146973 34.038459777832 617.115112304688 21.7000007629395 -4.30000019073486 26 16.9166660308838 1.56666660308838 28 592 58 11979 9887 8438.3330078125 15288.6669921875 14302 1.05750000476837 305
FCT-03 103.330501 28.31933904 10.3333330154419 17.5666675567627 2.11666679382324 898 166 11 83.5405578613281 488 36 488 36 8.64999961853027 33.1417617797852 622.057922363281 22.3999996185303 -3.70000004768372 26.1000003814697 17.5666675567627 2.11666679382324 26 538 57 12002.6669921875 9941 8379.6669921875 15318.6669921875 14371.3330078125 1.11833333969116 360
FCT-10 107.721299 29.48626701 9.72916698455811 18.6000003814697 0.200000047683716 1353 196 26 59.1518058776855 569 84 544 84 6.70833349227905 24.753999710083 743.693054199219 23.2999992370605 -3.79999995231628 27.0999984741211 16.75 0.200000047683716 20 400 56 12049.3330078125 8802.6669921875 7860.33349609375 14920.3330078125 16614 1.12750005722046 450
FCT-11 108.363934 30.20658899 11.6291666030884 20.6666660308838 2.08333325386047 1354 191 23 59.8442115783691 565 78 538 78 6.75833320617676 24.4867153167725 751.64501953125 25.6000003814697 -2 27.6000003814697 18.7666664123535 2.08333325386047 19 377 55 12339.25 8970 8022 15206.6669921875 17158.333984375 1.19999992847443 355
FCT-12 108.72262 30.20479501 12 21.0833339691162 2.43333339691162 1409 204 26 59.3938980102539 591 85 566 85 7.26666641235352 25.9523811340332 754.332946777344 26.1000003814697 -1.89999997615814 28 19.1666660308838 2.43333339691162 19 353 58 12361.1669921875 8960.3330078125 8117.66650390625 15273.6669921875 17093 1.19749999046326 293
FCT-16 110.104337 29.79092597 11.2083330154419 20.4833335876465 1.45000004768372 1515 229 31 57.9483299255371 651 106 627 106 7.20000028610229 25.3521118164062 770.969970703125 25.2000007629395 -3.20000004768372 28.4000015258789 18.5833339691162 1.45000004768372 22 435 54 12758.6669921875 9287.3330078125 8853.6669921875 15404 17489.666015625 1.15083336830139 339
FCT-17 109.960579 30.01699202 11.6374998092651 20.8833332061768 1.93333327770233 1485 222 29 59.1817207336426 641 99 621 99 7.64166641235352 26.7191123962402 767.146789550781 25.7000007629395 -2.90000009536743 28.6000003814697 18.9500007629395 1.93333327770233 20 393 55 12799.75 9302.3330078125 8832.3330078125 15502.3330078125 17562 1.16666662693024 309
FCT-18 110.058368 30.17634197 9.57083320617676 18.7000007629395 0.0166665706783533 1490 217 31 57.8831443786621 628 102 616 102 7.42500019073486 26.4234886169434 755.237670898438 23.2999992370605 -4.80000019073486 28.0999984741211 16.7999992370605 0.0166665706783533 22 449 56 12744.25 9295.3330078125 8789 15543.6669921875 17349 1.04750001430511 381
FCT-19 109.738616 30.17822103 11.125 20.3333339691162 1.43333339691162 1474 217 28 58.9012413024902 627 96 611 96 7.31666660308838 25.853946685791 765.970886230469 25.1000003814697 -3.20000004768372 28.3000011444092 18.4166660308838 1.43333339691162 21 361 57 12686.0830078125 9237.6669921875 8586.3330078125 15502 17418.333984375 1.12999999523163 400
FCT-20 109.34528 30.39365597 11.7666664123535 20.8666667938232 2.25 1449 219 28 59.5603561401367 613 92 599 92 7.31666660308838 26.130952835083 753.257568359375 25.7999992370605 -2.20000004768372 28 18.9333343505859 2.25 17 330 58 12534.0830078125 9109.3330078125 8329.6669921875 15501 17196.333984375 1.14750003814697 312
FCT-22 109.985184 31.47629301 9.11250019073486 18.6000003814697 -0.833333373069763 1270 209 22 62.3455276489258 542 74 542 74 8.32499980926514 28.125 784.755676269531 23.5 -6.09999990463257 29.6000003814697 18.6000003814697 -0.833333373069763 23 365 59 12998.75 9667.6669921875 8826 16282.6669921875 17218.666015625 0.997500002384186 320
